BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA633940	SRR11814744	SAMN14917340	NA	seed	late grain filling stage	Zimeiqi 37.30 N 120.83 E	RNA_B173	NA	cultivar:Zimeiqi_37.30_N_120.83_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814745	SAMN14917339	NA	seed	late grain filling stage	Bachagu 36.00 N 115.85 E	RNA_B172	NA	cultivar:Bachagu_36.00_N_115.85_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814746	SAMN14917338	NA	seed	late grain filling stage	Hebeigu 37.07 N 115.15 E	RNA_B171	NA	cultivar:Hebeigu_37.07_N_115.15_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814747	SAMN14917267	NA	seed	late grain filling stage	Xiaoqinggu 39.49 N 115.97 E	RNA_B069	NA	cultivar:Xiaoqinggu_39.49_N_115.97_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814748	SAMN14917266	NA	seed	late grain filling stage	Foshou 40.04 N 117.40 E	RNA_B068	NA	cultivar:Foshou_40.04_N_117.40_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814749	SAMN14917265	NA	seed	late grain filling stage	Zaogu 35.88 N 119.98 E	RNA_B066	NA	cultivar:Zaogu_35.88_N_119.98_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814750	SAMN14917264	NA	seed	late grain filling stage	60tianhuangtang 36.85 N 115.70 E	RNA_B064	NA	cultivar:60tianhuangtang_36.85_N_115.70_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814751	SAMN14917263	NA	seed	late grain filling stage	Bocaigenmaogu 37.48 N 117.50 E	RNA_B063	NA	cultivar:Bocaigenmaogu_37.48_N_117.50_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814752	SAMN14917262	NA	seed	late grain filling stage	Huangniangu 37.17 N 122.49 E	RNA_B062	NA	cultivar:Huangniangu_37.17_N_122.49_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814753	SAMN14917261	NA	seed	late grain filling stage	Liushabai 34.83 N 112.44 E	RNA_B061	NA	cultivar:Liushabai_34.83_N_112.44_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
