BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJEB7729	ERR674184	SAMEA3120856	NA	NA	NA	Barke	SAMEA3120856	NA	ENA first public:2016-05-20;  ENA last update:2016-05-20;  ENA-CHECKLIST:ERC000035;  External Id:SAMEA3997827;  INSDC center alias:ENA;  INSDC center name:ENA;  INSDC first public:2016-05-20T16:38:06Z;  INSDC last update:2016-05-20T15:56:23Z;  INSDC status:public;  Submitter Id:ERR674184 SAMEA3120856;  age:4 week;  cultivar:Barke;  experimental factor 1:infect;  experimental factor 2:sampling site;  growth condition:green house study;  infect:Xanthomonas translucens pv. cerealis;  organism part:leaf (EFO 0000993);  recurated from:SAMEA3120856;  sample name:ERR674184 SAMEA3120856;  sub species:vulgare;  ENA checklist:ERC000011;  INSDC center alias:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC center name:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC first public:2014-11-24T17:01:34Z;  INSDC last update:2014-11-13T14:39:20Z;  INSDC status:public;  SRA accession:ERS605006;  Sample Name:ERS605006;  age:4;  alias:E-MTAB-3063:SX rep2;  broker name:ArrayExpress;  cultivar:Barke;  growth condition:green house study;  infect:Xanthomonas translucens pathovar cerealis;  organism:Hordeum vulgare;  organism part:leaf;  sampling site:systemic leaf not at the site of infection;  title:SX rep2;  sub species:vulgare
PRJEB7729	ERR674185	SAMEA3120850	NA	NA	NA	Barke	SAMEA3120850	NA	ENA first public:2016-05-20;  ENA last update:2016-05-20;  ENA-CHECKLIST:ERC000035;  External Id:SAMEA3997828;  INSDC center alias:ENA;  INSDC center name:ENA;  INSDC first public:2016-05-20T16:38:06Z;  INSDC last update:2016-05-20T15:56:23Z;  INSDC status:public;  Submitter Id:ERR674185 SAMEA3120850;  age:4 week;  cultivar:Barke;  experimental factor 1:infect;  experimental factor 2:sampling site;  growth condition:green house study;  infect:Pseudomonas syringae pv. japonica;  organism part:leaf (EFO 0000993);  recurated from:SAMEA3120850;  sample name:ERR674185 SAMEA3120850;  sub species:vulgare;  ENA checklist:ERC000011;  INSDC center alias:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC center name:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC first public:2014-11-24T17:01:34Z;  INSDC last update:2014-11-13T14:39:20Z;  INSDC status:public;  SRA accession:ERS605000;  Sample Name:ERS605000;  age:4;  alias:E-MTAB-3063:SP rep2;  broker name:ArrayExpress;  cultivar:Barke;  growth condition:green house study;  infect:Pseudomonas syringae pathovar japonica;  organism:Hordeum vulgare;  organism part:leaf;  sampling site:systemic leaf not at the site of infection;  title:SP rep2;  sub species:vulgare
PRJEB7729	ERR674186	SAMEA3120859	NA	NA	NA	Barke	SAMEA3120859	NA	ENA first public:2016-05-20;  ENA last update:2016-05-20;  ENA-CHECKLIST:ERC000035;  External Id:SAMEA3997829;  INSDC center alias:ENA;  INSDC center name:ENA;  INSDC first public:2016-05-20T16:38:06Z;  INSDC last update:2016-05-20T15:56:23Z;  INSDC status:public;  Submitter Id:ERR674186 SAMEA3120859;  age:4 week;  cultivar:Barke;  experimental factor 1:infect;  experimental factor 2:sampling site;  growth condition:green house study;  infect:Pseudomonas syringae pv. japonica;  organism part:leaf (EFO 0000993);  recurated from:SAMEA3120859;  sample name:ERR674186 SAMEA3120859;  sub species:vulgare;  ENA checklist:ERC000011;  INSDC center alias:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC center name:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC first public:2014-11-24T17:01:34Z;  INSDC last update:2014-11-13T14:39:20Z;  INSDC status:public;  SRA accession:ERS605009;  Sample Name:ERS605009;  age:4;  alias:E-MTAB-3063:LP rep3;  broker name:ArrayExpress;  cultivar:Barke;  growth condition:green house study;  infect:Pseudomonas syringae pathovar japonica;  organism:Hordeum vulgare;  organism part:leaf;  sampling site:local leaf at site of infection;  title:LP rep3;  sub species:vulgare
PRJEB7729	ERR674187	SAMEA3120849	NA	NA	NA	Barke	SAMEA3120849	NA	ENA first public:2016-05-20;  ENA last update:2016-05-20;  ENA-CHECKLIST:ERC000035;  External Id:SAMEA3997830;  INSDC center alias:ENA;  INSDC center name:ENA;  INSDC first public:2016-05-20T16:38:06Z;  INSDC last update:2016-05-20T15:56:23Z;  INSDC status:public;  Submitter Id:ERR674187 SAMEA3120849;  age:4 week;  cultivar:Barke;  experimental factor 1:infect;  experimental factor 2:sampling site;  growth condition:green house study;  infect:mock (EFO 0001461);  organism part:leaf (EFO 0000993);  recurated from:SAMEA3120849;  sample name:ERR674187 SAMEA3120849;  sub species:vulgare;  ENA checklist:ERC000011;  INSDC center alias:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC center name:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC first public:2014-11-24T17:01:34Z;  INSDC last update:2014-11-13T14:39:20Z;  INSDC status:public;  SRA accession:ERS604999;  Sample Name:ERS604999;  age:4;  alias:E-MTAB-3063:LM rep3;  broker name:ArrayExpress;  cultivar:Barke;  growth condition:green house study;  infect:mock;  organism:Hordeum vulgare;  organism part:leaf;  sampling site:local leaf at site of infection;  title:LM rep3;  sub species:vulgare
PRJEB7729	ERR674188	SAMEA3120845	NA	NA	NA	Barke	SAMEA3120845	NA	ENA first public:2016-05-20;  ENA last update:2016-05-20;  ENA-CHECKLIST:ERC000035;  External Id:SAMEA3997831;  INSDC center alias:ENA;  INSDC center name:ENA;  INSDC first public:2016-05-20T16:38:06Z;  INSDC last update:2016-05-20T15:56:23Z;  INSDC status:public;  Submitter Id:ERR674188 SAMEA3120845;  age:4 week;  cultivar:Barke;  experimental factor 1:infect;  experimental factor 2:sampling site;  growth condition:green house study;  infect:mock (EFO 0001461);  organism part:leaf (EFO 0000993);  recurated from:SAMEA3120845;  sample name:ERR674188 SAMEA3120845;  sub species:vulgare;  ENA checklist:ERC000011;  INSDC center alias:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC center name:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC first public:2014-11-24T17:01:34Z;  INSDC last update:2014-11-13T14:39:20Z;  INSDC status:public;  SRA accession:ERS604995;  Sample Name:ERS604995;  age:4;  alias:E-MTAB-3063:LM rep1;  broker name:ArrayExpress;  cultivar:Barke;  growth condition:green house study;  infect:mock;  organism:Hordeum vulgare;  organism part:leaf;  sampling site:local leaf at site of infection;  title:LM rep1;  sub species:vulgare
PRJEB7729	ERR674191	SAMEA3120851	NA	NA	NA	Barke	SAMEA3120851	NA	ENA first public:2016-05-20;  ENA last update:2016-05-20;  ENA-CHECKLIST:ERC000035;  External Id:SAMEA3997834;  INSDC center alias:ENA;  INSDC center name:ENA;  INSDC first public:2016-05-20T16:38:06Z;  INSDC last update:2016-05-20T15:56:23Z;  INSDC status:public;  Submitter Id:ERR674191 SAMEA3120851;  age:4 week;  cultivar:Barke;  experimental factor 1:infect;  experimental factor 2:sampling site;  growth condition:green house study;  infect:Pseudomonas syringae pv. japonica;  organism part:leaf (EFO 0000993);  recurated from:SAMEA3120851;  sample name:ERR674191 SAMEA3120851;  sub species:vulgare;  ENA checklist:ERC000011;  INSDC center alias:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC center name:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC first public:2014-11-24T17:01:34Z;  INSDC last update:2014-11-13T14:39:20Z;  INSDC status:public;  SRA accession:ERS605001;  Sample Name:ERS605001;  age:4;  alias:E-MTAB-3063:LP rep2;  broker name:ArrayExpress;  cultivar:Barke;  growth condition:green house study;  infect:Pseudomonas syringae pathovar japonica;  organism:Hordeum vulgare;  organism part:leaf;  sampling site:local leaf at site of infection;  title:LP rep2;  sub species:vulgare
PRJEB7729	ERR674192	SAMEA3120857	NA	NA	NA	Barke	SAMEA3120857	NA	ENA first public:2016-05-20;  ENA last update:2016-05-20;  ENA-CHECKLIST:ERC000035;  External Id:SAMEA3997835;  INSDC center alias:ENA;  INSDC center name:ENA;  INSDC first public:2016-05-20T16:38:06Z;  INSDC last update:2016-05-20T15:56:23Z;  INSDC status:public;  Submitter Id:ERR674192 SAMEA3120857;  age:4 week;  cultivar:Barke;  experimental factor 1:infect;  experimental factor 2:sampling site;  growth condition:green house study;  infect:Pseudomonas syringae pv. japonica;  organism part:leaf (EFO 0000993);  recurated from:SAMEA3120857;  sample name:ERR674192 SAMEA3120857;  sub species:vulgare;  ENA checklist:ERC000011;  INSDC center alias:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC center name:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC first public:2014-11-24T17:01:34Z;  INSDC last update:2014-11-13T14:39:20Z;  INSDC status:public;  SRA accession:ERS605007;  Sample Name:ERS605007;  age:4;  alias:E-MTAB-3063:LP rep1;  broker name:ArrayExpress;  cultivar:Barke;  growth condition:green house study;  infect:Pseudomonas syringae pathovar japonica;  organism:Hordeum vulgare;  organism part:leaf;  sampling site:local leaf at site of infection;  title:LP rep1;  sub species:vulgare
PRJEB7729	ERR674193	SAMEA3120852	NA	NA	NA	Barke	SAMEA3120852	NA	ENA first public:2016-05-20;  ENA last update:2016-05-20;  ENA-CHECKLIST:ERC000035;  External Id:SAMEA3997836;  INSDC center alias:ENA;  INSDC center name:ENA;  INSDC first public:2016-05-20T16:38:06Z;  INSDC last update:2016-05-20T15:56:23Z;  INSDC status:public;  Submitter Id:ERR674193 SAMEA3120852;  age:4 week;  cultivar:Barke;  experimental factor 1:infect;  experimental factor 2:sampling site;  growth condition:green house study;  infect:Pseudomonas syringae pv. japonica;  organism part:leaf (EFO 0000993);  recurated from:SAMEA3120852;  sample name:ERR674193 SAMEA3120852;  sub species:vulgare;  ENA checklist:ERC000011;  INSDC center alias:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC center name:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC first public:2014-11-24T17:01:34Z;  INSDC last update:2014-11-13T14:39:20Z;  INSDC status:public;  SRA accession:ERS605002;  Sample Name:ERS605002;  age:4;  alias:E-MTAB-3063:SP rep1;  broker name:ArrayExpress;  cultivar:Barke;  growth condition:green house study;  infect:Pseudomonas syringae pathovar japonica;  organism:Hordeum vulgare;  organism part:leaf;  sampling site:systemic leaf not at the site of infection;  title:SP rep1;  sub species:vulgare
PRJEB7729	ERR674194	SAMEA3120854	NA	NA	NA	Barke	SAMEA3120854	NA	ENA first public:2016-05-20;  ENA last update:2016-05-20;  ENA-CHECKLIST:ERC000035;  External Id:SAMEA3997837;  INSDC center alias:ENA;  INSDC center name:ENA;  INSDC first public:2016-05-20T16:38:06Z;  INSDC last update:2016-05-20T15:56:23Z;  INSDC status:public;  Submitter Id:ERR674194 SAMEA3120854;  age:4 week;  cultivar:Barke;  experimental factor 1:infect;  experimental factor 2:sampling site;  growth condition:green house study;  infect:mock (EFO 0001461);  organism part:leaf (EFO 0000993);  recurated from:SAMEA3120854;  sample name:ERR674194 SAMEA3120854;  sub species:vulgare;  ENA checklist:ERC000011;  INSDC center alias:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC center name:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC first public:2014-11-24T17:01:34Z;  INSDC last update:2014-11-13T14:39:20Z;  INSDC status:public;  SRA accession:ERS605004;  Sample Name:ERS605004;  age:4;  alias:E-MTAB-3063:SM rep1;  broker name:ArrayExpress;  cultivar:Barke;  growth condition:green house study;  infect:mock;  organism:Hordeum vulgare;  organism part:leaf;  sampling site:systemic leaf not at the site of infection;  title:SM rep1;  sub species:vulgare
PRJEB7729	ERR674196	SAMEA3120846	NA	NA	NA	Barke	SAMEA3120846	NA	ENA first public:2016-05-20;  ENA last update:2016-05-20;  ENA-CHECKLIST:ERC000035;  External Id:SAMEA3997839;  INSDC center alias:ENA;  INSDC center name:ENA;  INSDC first public:2016-05-20T16:38:06Z;  INSDC last update:2016-05-20T15:56:23Z;  INSDC status:public;  Submitter Id:ERR674196 SAMEA3120846;  age:4 week;  cultivar:Barke;  experimental factor 1:infect;  experimental factor 2:sampling site;  growth condition:green house study;  infect:Xanthomonas translucens pv. cerealis;  organism part:leaf (EFO 0000993);  recurated from:SAMEA3120846;  sample name:ERR674196 SAMEA3120846;  sub species:vulgare;  ENA checklist:ERC000011;  INSDC center alias:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC center name:Helmholtz Zentrum Muenchen  Department of Environmental Sciences  Institute of Biochemical Plant Pathology;  INSDC first public:2014-11-24T17:01:34Z;  INSDC last update:2014-11-13T14:39:20Z;  INSDC status:public;  SRA accession:ERS604996;  Sample Name:ERS604996;  age:4;  alias:E-MTAB-3063:SX rep3;  broker name:ArrayExpress;  cultivar:Barke;  growth condition:green house study;  infect:Xanthomonas translucens pathovar cerealis;  organism:Hordeum vulgare;  organism part:leaf;  sampling site:systemic leaf not at the site of infection;  title:SX rep3;  sub species:vulgare
