BioProject	SRA	Biosample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA482217	SRR8051557	SAMN10169503	NA	flag leaf	flag leaf stage	Nipponbare	Leaf_1	NA	cultivar:Nipponbare;ecotype:Japonica;age:freshly_harvest;dev_stage:flag_leaf;geo_loc_name:Not_collected;tissue:Flag_Leaf;treatment:leaf_replicate_1
PRJNA482217	SRR8051558	SAMN10169502	NA	root	root	Nipponbare	Root_3	NA	cultivar:Nipponbare;ecotype:Japonica;age:freshly_harvest;dev_stage:root;geo_loc_name:Not_collected;tissue:Root;treatment:root_replicate_3
PRJNA482217	SRR8051559	SAMN10169501	NA	root	root	Nipponbare	Root_2	NA	cultivar:Nipponbare;ecotype:Japonica;age:freshly_harvest;dev_stage:root;geo_loc_name:Not_collected;tissue:Root;treatment:root_replicate_2
PRJNA482217	SRR8051560	SAMN10169500	NA	root	root	Nipponbare	Root_1	NA	cultivar:Nipponbare;ecotype:Japonica;age:freshly_harvest;dev_stage:root;geo_loc_name:Not_collected;tissue:Root;treatment:root_replicate_1
PRJNA482217	SRR8051561	SAMN10169499	NA	seed	mature seeds	Nipponbare	Seed_3	NA	cultivar:Nipponbare;ecotype:Japonica;age:freshly_harvest;dev_stage:mature_seeds;geo_loc_name:Not_collected;tissue:Seed;treatment:seed_replicate_3
PRJNA306542	SRR8490271	SAMN10784806	NA	leaf	3-week old seedlings	Nipponbare	WT3	NA	cultivar:Wild_type__Nipponbare;ecotype:lowland;dev_stage:3-week_old_seedlings;geo_loc_name:Japan;tissue:leaf;genotype:WT3
PRJNA306542	SRR8490274	SAMN10784811	NA	leaf	3-week old seedlings	Nipponbare	T-WT2	NA	cultivar:Wild_type__Nipponbare;ecotype:lowland;dev_stage:3-week_old_seedlings;geo_loc_name:Japan;tissue:leaf;genotype:T-WT2
PRJNA306542	SRR8490275	SAMN10784810	NA	leaf	3-week old seedlings	Nipponbare	T-WT1	NA	cultivar:Wild_type__Nipponbare;ecotype:lowland;dev_stage:3-week_old_seedlings;geo_loc_name:Japan;tissue:leaf;genotype:T-WT1
PRJNA306542	SRR8490276	SAMN10784805	NA	leaf	3-week old seedlings	Nipponbare	WT2	NA	cultivar:Wild_type__Nipponbare;ecotype:lowland;dev_stage:3-week_old_seedlings;geo_loc_name:Japan;tissue:leaf;genotype:WT2
PRJNA306542	SRR8490277	SAMN10784804	NA	leaf	3-week old seedlings	Nipponbare	WT1	NA	cultivar:Wild_type__Nipponbare;ecotype:lowland;dev_stage:3-week_old_seedlings;geo_loc_name:Japan;tissue:leaf;genotype:WT1
PRJNA306542	SRR8490281	SAMN10784812	NA	leaf	3-week old seedlings	Nipponbare	T-WT3	NA	cultivar:Wild_type__Nipponbare;ecotype:lowland;dev_stage:3-week_old_seedlings;geo_loc_name:Japan;tissue:leaf;genotype:T-WT3
PRJNA540689	SRR9002107	SAMN11553121	NA	embryo	embryo	Nipponbare	rice_diploid_and_tetraploid_RNAseq	NA	cultivar:Nipponbare;dev_stage:embryo;geo_loc_name:China:_Jilin_province;tissue:embryo
PRJNA540689	SRR9002108	SAMN11553121	NA	embryo	embryo	Nipponbare	rice_diploid_and_tetraploid_RNAseq	NA	cultivar:Nipponbare;dev_stage:embryo;geo_loc_name:China:_Jilin_province;tissue:embryo
PRJNA543951	SRR9106180	SAMN11792040	NA	seed	dry seed	Nipponbare	WT_0h	NA	cultivar:Nipponbare;dev_stage:dry_seed;geo_loc_name:China:Nanjing;tissue:seed
PRJNA543951	SRR9106181	SAMN11792040	NA	seed	dry seed	Nipponbare	WT_0h	NA	cultivar:Nipponbare;dev_stage:dry_seed;geo_loc_name:China:Nanjing;tissue:seed
PRJNA543951	SRR9106182	SAMN11792040	NA	seed	dry seed	Nipponbare	WT_0h	NA	cultivar:Nipponbare;dev_stage:dry_seed;geo_loc_name:China:Nanjing;tissue:seed
PRJNA544406	SRR9117218	SAMN11835503	NA	seed	mature seed imbibition (8h)	Nipponbare	Wild_type	NA	cultivar:Nipponbare;dev_stage:mature_seed_imbibition_(8h);geo_loc_name:Japan;tissue:seed
PRJNA544406	SRR9117219	SAMN11835503	NA	seed	mature seed imbibition (8h)	Nipponbare	Wild_type	NA	cultivar:Nipponbare;dev_stage:mature_seed_imbibition_(8h);geo_loc_name:Japan;tissue:seed
PRJNA544406	SRR9117220	SAMN11835503	NA	seed	mature seed imbibition (8h)	Nipponbare	Wild_type	NA	cultivar:Nipponbare;dev_stage:mature_seed_imbibition_(8h);geo_loc_name:Japan;tissue:seed
PRJNA482217	SRR8051555	SAMN10169505	NA	flag leaf	flag leaf stage	Nipponbare	Leaf_3	NA	cultivar:Nipponbare;ecotype:Japonica;age:freshly_harvest;dev_stage:flag_leaf;geo_loc_name:Not_collected;tissue:Flag_Leaf;treatment:leaf_replicate_3
