BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA592319	SRR10583871	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583872	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583873	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583874	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583875	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583876	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583877	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583878	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583879	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583880	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583881	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583882	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583883	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583884	SAMN13420649	NA	leaf	NA	ST 47	STL	NA	isolate:not collected; cultivar:ST 47; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583885	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583886	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583887	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583888	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583889	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583890	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583891	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583892	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583893	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583894	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583895	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583896	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583897	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583898	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583899	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583900	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583901	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583902	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
PRJNA592319	SRR10583903	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583904	SAMN13420648	NA	root	NA	SS 212	SSR	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Root
PRJNA592319	SRR10583905	SAMN13420647	NA	leaf	NA	SS 212	SSL	NA	isolate:not collected; cultivar:SS 212; ecotype:not collected; age:not collected; dev stage:not collected; geo loc name:not collected; tissue:Leaf
