BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA372461	SRR5488083	SAMN06313692	NA	NA	NA	BTx623	Gp0176379	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372457	SRR5488085	SAMN06313709	NA	NA	NA	BTx623	Gp0176375	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372475	SRR5488086	SAMN06313264	NA	NA	NA	BTx623	Gp0176393	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372469	SRR5488090	SAMN06313536	NA	NA	NA	BTx623	Gp0176387	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372465	SRR5488094	SAMN06313131	NA	NA	NA	BTx623	Gp0176383	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372460	SRR5488097	SAMN06313357	NA	NA	NA	BTx623	Gp0176378	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372466	SRR5488100	SAMN06313190	NA	NA	NA	BTx623	Gp0176384	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372470	SRR5488102	SAMN06313947	NA	NA	NA	BTx623	Gp0176388	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372476	SRR5488104	SAMN06313523	NA	NA	NA	BTx623	Gp0176394	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373407	SRR5493579	SAMN06314325	NA	NA	NA	BTx623	Gp0176443	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372327	SRR5493580	SAMN06313373	NA	NA	NA	BTx623	Gp0176489	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373419	SRR5493581	SAMN06314414	NA	NA	NA	BTx623	Gp0176455	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372340	SRR5493582	SAMN06313267	NA	NA	NA	BTx623	Gp0176502	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372565	SRR5493583	SAMN06313538	NA	NA	NA	BTx623	Gp0176437	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373442	SRR5493585	SAMN06313661	NA	NA	NA	BTx623	Gp0176478	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373448	SRR5493586	SAMN06313643	NA	NA	NA	BTx623	Gp0176484	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373436	SRR5493587	SAMN06313454	NA	NA	NA	BTx623	Gp0176472	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373427	SRR5493588	SAMN06314418	NA	NA	NA	BTx623	Gp0176463	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373430	SRR5493589	SAMN06314680	NA	NA	NA	BTx623	Gp0176466	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372559	SRR5493590	SAMN06313907	NA	NA	NA	BTx623	Gp0176431	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373447	SRR5493591	SAMN06314334	NA	NA	NA	BTx623	Gp0176483	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372567	SRR5493592	SAMN06313337	NA	NA	NA	BTx623	Gp0176439	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373413	SRR5493593	SAMN06314308	NA	NA	NA	BTx623	Gp0176449	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372334	SRR5493594	SAMN06313398	NA	NA	NA	BTx623	Gp0176496	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373429	SRR5493595	SAMN06313410	NA	NA	NA	BTx623	Gp0176465	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372558	SRR5493596	SAMN06313855	NA	NA	NA	BTx623	Gp0176430	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373435	SRR5493597	SAMN06314664	NA	NA	NA	BTx623	Gp0176471	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372568	SRR5493598	SAMN06313258	NA	NA	NA	BTx623	Gp0176440	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373446	SRR5493599	SAMN06314351	NA	NA	NA	BTx623	Gp0176482	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA372331	SRR5493601	SAMN06313633	NA	NA	NA	BTx623	Gp0176493	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373426	SRR5493602	SAMN06314515	NA	NA	NA	BTx623	Gp0176462	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373423	SRR5493603	SAMN06314582	NA	NA	NA	BTx623	Gp0176459	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
PRJNA373415	SRR5493604	SAMN06313530	NA	NA	NA	BTx623	Gp0176451	NA	collection date:missing;  isol growth condt:missing;  ref biomaterial:missing;  estimated size:missing;  ploidy:missing;  propagation:missing;  cultivar:BTx623;  feature:missing;  material:missing;  biome:missing;  num replicons:missing;  host:not applicable;  geo loc name:missing;  lat lon:missing;  isolation source:missing
